id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
5315,11018,AMSTETTEN/KLAERANLAGE,14.898611,48.108055,265.0,1993-02-01,2000-06-30,NOE,ja,ja,Synopmeldung wurde eingestellt,4,1993-02-01,2000-06-30,nein
5316,11018,AMSTETTEN,14.895,48.108891,266.0,2000-07-01,2100-12-31,NOE,ja,ja,Synopmeldung,4,2000-07-01,2100-12-31,nein
5320,,YBBS/PERSENBEUG,15.066667,48.183334,231.0,1983-10-01,1994-12-31,NOE,nein,ja,keine Synopmeldung,,,,nein
5400,,MELK,15.354167,48.209167,240.0,1974-08-01,1995-02-28,NOE,ja,nein,keine Synopmeldung,189,1974-08-01,1995-02-28,nein
5410,,OBERNDORF/MELK,15.215278,48.063889,297.0,1977-11-01,2007-12-31,NOE,ja,nein,keine Synopmeldung,155,1977-11-01,2007-12-31,nein
5412,11376,OBERNDORF/MELK,15.213889,48.0625,295.0,2007-07-01,2100-12-31,NOE,ja,ja,keine Synopmeldung,155,2008-01-01,2100-12-31,nein
5413,11054,MELK,15.331388,48.209721,307.0,2008-09-25,2100-12-31,NOE,ja,ja,keine Synopmeldung,189,2008-09-25,2100-12-31,nein
5421,11379,WIESELBURG,15.146667,48.127224,259.0,2007-07-01,2100-12-31,NOE,ja,ja,keine Synopmeldung,,,,nein
5430,,PETZENKIRCHEN,15.15,48.150002,252.0,1946-04-30,1978-04-30,NOE,ja,ja,keine Synopmeldung,,,,nein
5600,11028,ST.POELTEN/HESSERKASERNE,15.616667,48.200001,272.0,1979-04-01,1993-12-31,NOE,ja,nein,Synopmeldung wurde eingestellt,93,1979-04-01,1993-12-31,nein
5601,,ST.POELTEN/VIEHOFEN,15.616667,48.216667,274.0,1947-01-01,1955-08-31,NOE,nein,nein,keine Synopmeldung,93,1947-01-01,1955-08-31,nein
5606,,ST.POELTEN/KOPALKASERNE,15.611111,48.180279,282.0,1994-01-01,1994-12-31,NOE,nein,nein,keine Synopmeldung,,,,nein
5607,11028,ST.POELTEN/WALLSEERER STRASSE,15.622222,48.194168,277.0,1955-09-01,1979-03-31,NOE,ja,nein,Synopmeldung wurde eingestellt,93,1955-09-01,1979-03-31,nein
5609,11389,ST.POELTEN/LANDHAUS,15.631111,48.199722,273.6,2003-07-01,2100-12-31,NOE,ja,ja,Synopmeldung,93,2003-07-01,2100-12-31,nein
5610,,TRAISEN,15.616667,48.033333,340.0,1955-10-01,1982-10-31,NOE,nein,nein,keine Synopmeldung,,,,nein
5611,,ESCHENAU/TRAISEN,15.583333,48.049999,520.0,1982-11-01,1994-06-30,NOE,nein,nein,keine Synopmeldung,,,,nein
5620,,LILIENFELD,15.583333,48.016666,582.0,1936-01-01,1958-08-31,NOE,nein,nein,keine Synopmeldung,,,,nein
5625,11078,LILIENFELD-TARSCHBERG,15.5875,48.028057,696.0,1992-08-01,2100-12-31,NOE,ja,ja,Synopmeldung,,,,nein
5650,,HAINFELD/KASBERG,15.806111,48.067501,600.0,1993-12-01,2007-12-31,NOE,nein,nein,keine Synopmeldung,,,,nein
5700,,ALTENMARKT/TRIESTING,16.0,48.016666,397.0,1955-09-01,1992-06-30,NOE,nein,nein,keine Synopmeldung,,,,nein
5701,11391,KLAUSEN-LEOPOLDSDORF,16.001667,48.088612,389.0,2007-12-01,2100-12-31,NOE,ja,ja,keine Synopmeldung,,,,nein
5710,,ST.CHRISTOPHEN,15.883333,48.183334,247.0,1983-10-01,1984-12-31,NOE,nein,nein,keine Synopmeldung,,,,nein
5720,,KOHLREIT,15.933611,48.170555,501.0,1986-01-01,2001-06-30,NOE,nein,nein,keine Synopmeldung,125,1986-01-01,2001-06-30,nein
5725,11031,KOHLREITHBERG,15.935278,48.175835,490.0,2001-06-01,2010-06-17,NOE,ja,ja,Synopmeldung wurde eingestellt,125,2001-07-01,2010-06-17,nein
5735,11066,BUCHBERG,15.945,48.213612,460.0,2009-11-01,2100-12-31,NOE,ja,ja,keine Synopmeldung,,,,nein
5740,,GERICHTSBERG/ARABURG,15.883333,48.016666,618.0,1987-08-01,1989-01-31,NOE,nein,nein,keine Synopmeldung,,,,nein
5802,11044,WIEN-JUBILAEUMSWARTE,16.265278,48.221111,450.0,2009-09-01,2100-12-31,WIE,ja,ja,keine Synopmeldung,,,,nein
5804,,WIEN-MARIABRUNN,16.233334,48.200001,226.0,1936-01-01,1994-09-30,WIE,nein,nein,keine Synopmeldung,106,1936-01-01,1994-09-30,nein
5805,11080,WIEN-MARIABRUNN,16.229445,48.206944,225.0,1997-01-16,2100-12-31,WIE,ja,ja,Synopmeldung,106,1997-01-16,2100-12-31,nein
5808,,WIEN/SCHOENBRUNN,16.316668,48.166668,232.0,1951-10-01,1965-12-31,WIE,nein,nein,keine Synopmeldung,,,,nein
5855,,WIENER NEUDORF,16.311111,48.075554,203.0,1966-12-01,1968-04-30,NOE,nein,nein,keine Synopmeldung,,,,nein
5904,11035,WIEN-HOHE WARTE,16.356388,48.248611,198.0,1993-01-01,2100-12-31,WIE,ja,ja,Synopmeldung,105,1993-01-01,2100-12-31,nein
5905,,WIEN alte Univ.(Sternw),16.366667,48.216667,175.0,1775-01-01,1873-12-31,WIE,nein,nein,keine Synopmeldung,105,1775-01-01,1852-08-30,nein
5917,11040,WIEN/UNTERLAA,16.419445,48.125,200.0,1996-01-01,2100-12-31,WIE,ja,ja,Synopmeldung,107,1996-01-01,2100-12-31,nein
5950,,HENNERSDORF,16.366667,48.116665,183.0,1968-06-01,1971-02-28,NOE,nein,nein,keine Synopmeldung,,,,nein
5970,,GROSS-ENZERSDORF,16.566668,48.200001,153.0,1936-01-01,1991-02-28,NOE,nein,nein,keine Synopmeldung,31,1936-01-01,1990-12-31,nein
5980,,MUENCHENDORF,16.4,48.033333,184.0,1961-06-01,1986-04-30,NOE,nein,nein,keine Synopmeldung,,,,nein
5990,11036,SCHWECHAT,16.581388,48.1175,183.0,1948-01-01,2100-12-31,NOE,ja,nein,Synopmeldung,,,,nein
6020,,FUCHSENBIGL,16.748056,48.191944,149.0,1946-04-14,2007-11-30,NOE,nein,nein,keine Synopmeldung,,,,nein
6102,11394,BRUCKNEUDORF,16.844999,48.012779,165.6,2007-11-01,2100-12-31,BGL,ja,ja,keine Synopmeldung,18,2008-01-01,2100-12-31,nein
6300,11150,SALZBURG-FLUGHAFEN,13.008333,47.789444,430.0,1939-03-01,2100-12-31,SAL,ja,ja,Synopmeldung,131,1939-03-01,2100-12-31,nein
6305,11350,SALZBURG-FREISAAL,13.054167,47.791111,419.0,1992-01-01,2100-12-31,SAL,ja,ja,Synopmeldung,145,2006-01-01,2100-12-31,nein
6400,,IRRSDORF,13.273334,47.973888,570.0,1974-06-01,2000-12-31,SAL,ja,nein,keine Synopmeldung,,,,nein
6413,11152,MATTSEE,13.1,47.966667,508.0,1999-02-01,1999-10-31,SAL,nein,nein,Synopmeldung wurde eingestellt,60,1999-02-01,1999-10-31,nein
6505,,SEEWALCHEN,13.6,47.950001,493.0,1983-05-01,1989-06-30,OOE,nein,nein,keine Synopmeldung,,,,nein
6507,,MONDSEE,13.35,47.866665,480.0,1942-05-01,1945-02-28,OOE,nein,nein,keine Synopmeldung,163,1942-05-01,1945-02-28,nein
6515,,MONDSEE,13.35,47.866665,488.0,1950-03-15,1964-10-31,OOE,ja,nein,keine Synopmeldung,163,1950-03-16,1964-10-31,nein
6520,,THALHAM,13.483334,47.933334,539.0,1953-06-24,1982-11-30,OOE,nein,nein,keine Synopmeldung,,,,nein
6600,,EBENSEE,13.790833,47.810276,424.0,1936-02-01,1983-12-31,OOE,nein,nein,keine Synopmeldung,,,,nein
6611,11155,FEUERKOGEL,13.717778,47.816666,1618.1,1989-10-01,2100-12-31,OOE,ja,ja,Synopmeldung,205,2009-01-01,2100-12-31,nein
6619,11154,GMUNDEN,13.783334,47.916668,424.0,1930-01-01,1981-03-31,OOE,ja,ja,Synopmeldung wurde eingestellt,29,1930-01-01,1981-03-31,nein
6621,11254,ALTMUENSTER,13.773334,47.879166,438.0,2014-11-24,2100-12-31,OOE,ja,ja,keine Synopmeldung,,,,nein
6803,11347,MICHELDORF,14.134444,47.883057,459.0,2008-07-31,2100-12-31,OOE,ja,ja,keine Synopmeldung,144,2008-08-01,2100-12-31,nein
7000,,WEYER,14.666667,47.866665,410.0,1968-06-01,1989-06-30,OOE,ja,nein,keine Synopmeldung,104,1968-06-01,1989-06-30,nein
7010,,WAIDHOFEN/YBBS,14.766666,47.966667,365.0,1924-12-01,1988-10-31,NOE,nein,nein,keine Synopmeldung,101,1924-12-01,1988-10-31,nein
